ctname,rfgrp,popuni,ctname,stname,STABREV,state_deaths
"Dawes County, NE",13.799999999999999,8034,Dawes County,Nebraska,NE,636.0
"Dawson County, GA",18.4,24981,Dawson County,Georgia,GA,6746.0
"Dawson County, MT",18.4,8317,Dawson County,Montana,MT,252.0
"Dawson County, NE",36.800000000000004,23614,Dawson County,Nebraska,NE,636.0
"Dawson County, TX",23.0,11357,Dawson County,Texas,TX,17706.0
"Day County, SD",18.4,5494,Day County,South Dakota,SD,376.0
"De Kalb County, IN",46.00000000000001,43150,De Kalb County,Indiana,IN,4116.0
"De Soto Parish, LA",36.800000000000004,27338,De Soto Parish,Louisiana,LA,5194.0
"De Witt County, IL",27.6,15693,De Witt County,Illinois,IL,8459.0
"DeBaca County, NM",9.2,1772,DeBaca County,New Mexico,NM,854.0
"DeKalb County, AL",69.0,71177,DeKalb County,Alabama,AL,3770.0
"DeKalb County, GA",671.6000000000018,748373,DeKalb County,Georgia,GA,6746.0
"DeKalb County, IL",101.19999999999996,99206,DeKalb County,Illinois,IL,8459.0
"DeKalb County, MO",13.799999999999999,9344,DeKalb County,Missouri,MO,2814.0
"DeKalb County, TN",23.0,20007,DeKalb County,Tennessee,TN,2959.0
"DeSoto County, FL",46.00000000000001,34712,DeSoto County,Florida,FL,16059.0
"DeSoto County, MS",156.3999999999999,181752,DeSoto County,Mississippi,MS,3124.0
"DeWitt County, TX",27.6,18702,DeWitt County,Texas,TX,17706.0
"Deaf Smith County, TX",23.0,18680,Deaf Smith County,Texas,TX,17706.0
"Dearborn County, IN",50.60000000000001,49320,Dearborn County,Indiana,IN,4116.0
"Decatur County, GA",36.800000000000004,25776,Decatur County,Georgia,GA,6746.0
"Decatur County, IA",18.4,7294,Decatur County,Iowa,IA,1638.0
"Decatur County, IN",32.2,26736,Decatur County,Indiana,IN,4116.0
"Decatur County, KS",13.799999999999999,2869,Decatur County,Kansas,KS,962.0
"Decatur County, TN",23.0,11679,Decatur County,Tennessee,TN,2959.0
"Deer Lodge County, MT",18.4,8720,Deer Lodge County,Montana,MT,252.0
"Defiance County, OH",46.00000000000001,37760,Defiance County,Ohio,OH,4890.0
"Del Norte County, CA",41.400000000000006,24978,Del Norte County,California,CA,16663.0
"Delaware County, IA",23.0,17069,Delaware County,Iowa,IA,1638.0
"Delaware County, IN",142.5999999999999,107402,Delaware County,Indiana,IN,4116.0
"Delaware County, NY",69.0,42848,Delaware County,New York,NY,11847.0
"Delaware County, OH",165.59999999999988,203177,Delaware County,Ohio,OH,4890.0
"Delaware County, OK",46.00000000000001,42632,Delaware County,Oklahoma,OK,1418.0
"Delaware County, PA",667.0000000000018,548713,Delaware County,Pennsylvania,PA,8865.0
"Delta County, CO",36.800000000000004,30437,Delta County,Colorado,CO,2094.0
"Delta County, MI",64.4,35664,Delta County,Michigan,MI,6581.0
"Delta County, TX",13.799999999999999,5349,Delta County,Texas,TX,17706.0
"Denali Borough, AK",9.2,2059,Denali Borough,Alaska,AK,55.0
"Dent County, MO",23.0,15435,Dent County,Missouri,MO,2814.0
"Denton County, TX",634.8000000000017,850319,Denton County,Texas,TX,17706.0
"Denver County, CO",667.0000000000018,707129,Denver County,Colorado,CO,2094.0
"Des Moines County, IA",55.20000000000001,38984,Des Moines County,Iowa,IA,1638.0
"Deschutes County, OR",114.99999999999994,191435,Deschutes County,Oregon,OR,596.0
"Desha County, AR",27.6,11512,Desha County,Arkansas,AR,1622.0
"Deuel County, NE",9.2,1825,Deuel County,Nebraska,NE,636.0
"Deuel County, SD",13.799999999999999,4337,Deuel County,South Dakota,SD,376.0
"Dewey County, OK",18.4,4873,Dewey County,Oklahoma,OK,1418.0
"Dewey County, SD",13.799999999999999,5891,Dewey County,South Dakota,SD,376.0
"Dickens County, TX",9.2,1934,Dickens County,Texas,TX,17706.0
"Dickenson County, VA",23.0,14090,Dickenson County,Virginia,VA,3466.0
"Dickey County, ND",18.4,4827,Dickey County,North Dakota,ND,375.0
"Dickinson County, IA",27.6,17142,Dickinson County,Iowa,IA,1638.0
"Dickinson County, KS",32.2,18643,Dickinson County,Kansas,KS,962.0
"Dickinson County, MI",36.800000000000004,25307,Dickinson County,Michigan,MI,6581.0
"Dickson County, TN",50.60000000000001,53219,Dickson County,Tennessee,TN,2959.0
"Dillingham Census Area, AK",13.799999999999999,4998,Dillingham Census Area,Alaska,AK,55.0
"Dillon County, SC",32.2,30428,Dillon County,South Carolina,SC,3620.0
"Dimmit County, TX",13.799999999999999,10267,Dimmit County,Texas,TX,17706.0
"Dinwiddie County, VA",36.800000000000004,28322,Dinwiddie County,Virginia,VA,3466.0
"District of Columbia, DC",828.0000000000026,674513,District of Columbia,District of Columbia,DC,783.0
"Divide County, ND",9.2,2283,Divide County,North Dakota,ND,375.0
"Dixie County, FL",23.0,15001,Dixie County,Florida,FL,16059.0
"Dixon County, NE",13.799999999999999,5701,Dixon County,Nebraska,NE,636.0
"Doddridge County, WV",13.799999999999999,7487,Doddridge County,West Virginia,WV,352.0
"Dodge County, GA",32.2,19076,Dodge County,Georgia,GA,6746.0
"Dodge County, MN",27.6,20822,Dodge County,Minnesota,MN,2289.0
"Dodge County, NE",46.00000000000001,36119,Dodge County,Nebraska,NE,636.0
"Dodge County, WI",96.59999999999997,82625,Dodge County,Wisconsin,WI,1675.0
"Dolores County, CO",9.2,2074,Dolores County,Colorado,CO,2094.0
"Dona Ana County, NM",193.19999999999985,214055,Dona Ana County,New Mexico,NM,854.0
"Doniphan County, KS",18.4,7330,Doniphan County,Kansas,KS,962.0
"Donley County, TX",13.799999999999999,3098,Donley County,Texas,TX,17706.0
"Dooly County, GA",18.4,11900,Dooly County,Georgia,GA,6746.0
"Door County, WI",50.60000000000001,27535,Door County,Wisconsin,WI,1675.0
"Dorchester County, MD",50.60000000000001,31835,Dorchester County,Maryland,MD,4427.0
"Dorchester County, SC",119.59999999999994,159165,Dorchester County,South Carolina,SC,3620.0
"Dougherty County, GA",128.79999999999993,85695,Dougherty County,Georgia,GA,6746.0
"Douglas County, CO",285.19999999999993,342473,Douglas County,Colorado,CO,2094.0
"Douglas County, GA",96.59999999999997,144525,Douglas County,Georgia,GA,6746.0
"Douglas County, IL",27.6,19463,Douglas County,Illinois,IL,8459.0
"Douglas County, KS",105.79999999999995,113382,Douglas County,Kansas,KS,962.0
"Douglas County, MN",46.00000000000001,37901,Douglas County,Minnesota,MN,2289.0
"Douglas County, MO",18.4,13355,Douglas County,Missouri,MO,2814.0
"Douglas County, NE",722.2000000000021,558595,Douglas County,Nebraska,NE,636.0
"Douglas County, NV",82.79999999999998,48326,Douglas County,Nevada,NV,1625.0
"Douglas County, OR",110.39999999999995,110003,Douglas County,Oregon,OR,596.0
"Douglas County, SD",9.2,2935,Douglas County,South Dakota,SD,376.0
"Douglas County, WA",41.400000000000006,42895,Douglas County,Washington,WA,2056.0
"Douglas County, WI",64.4,42252,Douglas County,Wisconsin,WI,1675.0
"Drew County, AR",27.6,17665,Drew County,Arkansas,AR,1622.0
"DuPage County, IL",998.2000000000035,921446,DuPage County,Illinois,IL,8459.0
"Dubois County, IN",36.800000000000004,42405,Dubois County,Indiana,IN,4116.0
"Dubuque County, IA",124.19999999999993,94261,Dubuque County,Iowa,IA,1638.0
"Duchesne County, UT",18.4,19769,Duchesne County,Utah,UT,582.0
"Dukes County, MA",27.6,17293,Dukes County,Massachusetts,MA,8189.0
"Dundy County, NE",9.2,1770,Dundy County,Nebraska,NE,636.0
"Dunklin County, MO",50.60000000000001,29258,Dunklin County,Missouri,MO,2814.0
"Dunn County, ND",9.2,4332,Dunn County,North Dakota,ND,375.0
"Dunn County, WI",41.400000000000006,42291,Dunn County,Wisconsin,WI,1675.0
"Duplin County, NC",55.20000000000001,58856,Duplin County,North Carolina,NC,2731.0
"Durham County, NC",280.5999999999999,305428,Durham County,North Carolina,NC,2731.0
"Dutchess County, NY",368.00000000000034,279507,Dutchess County,New York,NY,11847.0
"Duval County, FL",805.0000000000025,940548,Duval County,Florida,FL,16059.0
"Duval County, TX",18.4,10611,Duval County,Texas,TX,17706.0
"Dyer County, TN",41.400000000000006,37131,Dyer County,Tennessee,TN,2959.0
"Eagle County, CO",69.0,54916,Eagle County,Colorado,CO,2094.0
"Early County, GA",27.6,10210,Early County,Georgia,GA,6746.0
"East Baton Rouge Parish, LA",427.80000000000064,433376,East Baton Rouge Parish,Louisiana,LA,5194.0
"East Carroll Parish, LA",18.4,5970,East Carroll Parish,Louisiana,LA,5194.0
"East Feliciana Parish, LA",27.6,17709,East Feliciana Parish,Louisiana,LA,5194.0
"Eastland County, TX",27.6,17757,Eastland County,Texas,TX,17706.0
"Eaton County, MI",133.39999999999992,108726,Eaton County,Michigan,MI,6581.0
"Eau Claire County, WI",96.59999999999997,100623,Eau Claire County,Wisconsin,WI,1675.0
"Echols County, GA",13.799999999999999,4000,Echols County,Georgia,GA,6746.0
"Ector County, TX",133.39999999999992,160025,Ector County,Texas,TX,17706.0
"Eddy County, ND",9.2,2313,Eddy County,North Dakota,ND,375.0
"Eddy County, NM",59.80000000000001,57646,Eddy County,New Mexico,NM,854.0
"Edgar County, IL",27.6,17327,Edgar County,Illinois,IL,8459.0
"Edgecombe County, NC",69.0,51663,Edgecombe County,North Carolina,NC,2731.0
"Edgefield County, SC",32.2,24451,Edgefield County,South Carolina,SC,3620.0
"Edmonson County, KY",23.0,12271,Edmonson County,Kentucky,KY,1492.0
"Edmunds County, SD",13.799999999999999,3867,Edmunds County,South Dakota,SD,376.0
"Edwards County, IL",18.4,6392,Edwards County,Illinois,IL,8459.0
"Edwards County, KS",13.799999999999999,2844,Edwards County,Kansas,KS,962.0
"Edwards County, TX",9.2,1923,Edwards County,Texas,TX,17706.0
"Effingham County, GA",50.60000000000001,61691,Effingham County,Georgia,GA,6746.0
"Effingham County, IL",41.400000000000006,34142,Effingham County,Illinois,IL,8459.0
"El Dorado County, CA",202.39999999999984,190157,El Dorado County,California,CA,16663.0
"El Paso County, CO",602.6000000000015,707807,El Paso County,Colorado,CO,2094.0
"El Paso County, TX",745.2000000000022,833477,El Paso County,Texas,TX,17706.0
"Elbert County, CO",36.800000000000004,26247,Elbert County,Colorado,CO,2094.0
"Elbert County, GA",27.6,19020,Elbert County,Georgia,GA,6746.0
"Elk County, KS",9.2,2502,Elk County,Kansas,KS,962.0
"Elk County, PA",46.00000000000001,30118,Elk County,Pennsylvania,PA,8865.0
"Elkhart County, IN",170.19999999999987,203899,Elkhart County,Indiana,IN,4116.0
"Elko County, NV",69.0,51912,Elko County,Nevada,NV,1625.0
"Elliott County, KY",13.799999999999999,6539,Elliott County,Kentucky,KY,1492.0
"Ellis County, KS",32.2,27939,Ellis County,Kansas,KS,962.0
"Ellis County, OK",13.799999999999999,3947,Ellis County,Oklahoma,OK,1418.0
"Ellis County, TX",147.1999999999999,178609,Ellis County,Texas,TX,17706.0
"Ellsworth County, KS",13.799999999999999,5329,Ellsworth County,Kansas,KS,962.0
"Elmore County, AL",73.6,77316,Elmore County,Alabama,AL,3770.0
"Elmore County, ID",27.6,27122,Elmore County,Idaho,ID,571.0
"Emanuel County, GA",32.2,21641,Emanuel County,Georgia,GA,6746.0
"Emery County, UT",18.4,10014,Emery County,Utah,UT,582.0
"Emmet County, IA",23.0,9002,Emmet County,Iowa,IA,1638.0
"Emmet County, MI",46.00000000000001,33134,Emmet County,Michigan,MI,6581.0
"Emmons County, ND",9.2,3295,Emmons County,North Dakota,ND,375.0
"Emporia city, VA",13.799999999999999,5121,Emporia city,Virginia,VA,3466.0
"Erath County, TX",41.400000000000006,38966,Erath County,Texas,TX,17706.0
"Erie County, NY",1094.8000000000022,902370,Erie County,New York,NY,11847.0
"Erie County, OH",91.99999999999997,74471,Erie County,Ohio,OH,4890.0
"Erie County, PA",335.8000000000002,263229,Erie County,Pennsylvania,PA,8865.0
"Escambia County, AL",46.00000000000001,34211,Escambia County,Alabama,AL,3770.0
"Escambia County, FL",335.8000000000002,306743,Escambia County,Florida,FL,16059.0
"Esmeralda County, NV",9.2,825,Esmeralda County,Nevada,NV,1625.0
"Essex County, MA",754.4000000000023,779973,Essex County,Massachusetts,MA,8189.0
"Essex County, NJ",970.6000000000033,787564,Essex County,New Jersey,NJ,14511.0
"Essex County, NY",64.4,35829,Essex County,New York,NY,11847.0
"Essex County, VA",18.4,10919,Essex County,Virginia,VA,3466.0
"Essex County, VT",18.4,6250,Essex County,Vermont,VT,62.0
"Estill County, KY",23.0,14166,Estill County,Kentucky,KY,1492.0
"Etowah County, AL",142.5999999999999,101283,Etowah County,Alabama,AL,3770.0
"Eureka County, NV",9.2,2002,Eureka County,Nevada,NV,1625.0
"Evangeline Parish, LA",41.400000000000006,32382,Evangeline Parish,Louisiana,LA,5194.0
"Evans County, GA",18.4,10320,Evans County,Georgia,GA,6746.0
"Fairbanks North Star Borough, AK",91.99999999999997,97612,Fairbanks North Star Borough,Alaska,AK,55.0
"Fairfax County, VA",1191.4000000000003,1143597,Fairfax County,Virginia,VA,3466.0
"Fairfax city, VA",27.6,24455,Fairfax city,Virginia,VA,3466.0
"Fairfield County, CT",975.2000000000033,932617,Fairfield County,Connecticut,CT,4492.0
"Fairfield County, OH",133.39999999999992,153899,Fairfield County,Ohio,OH,4890.0
"Fairfield County, SC",27.6,22330,Fairfield County,South Carolina,SC,3620.0
"Fall River County, SD",13.799999999999999,6715,Fall River County,South Dakota,SD,376.0
"Fallon County, MT",9.2,2917,Fallon County,Montana,MT,252.0
"Falls Church city, VA",18.4,14764,Falls Church city,Virginia,VA,3466.0
"Falls County, TX",32.2,15442,Falls County,Texas,TX,17706.0
"Fannin County, GA",27.6,25892,Fannin County,Georgia,GA,6746.0
"Fannin County, TX",46.00000000000001,32874,Fannin County,Texas,TX,17706.0
"Faribault County, MN",32.2,13659,Faribault County,Minnesota,MN,2289.0
"Faulk County, SD",9.2,2328,Faulk County,South Dakota,SD,376.0
"Faulkner County, AR",119.59999999999994,121129,Faulkner County,Arkansas,AR,1622.0
"Fauquier County, VA",82.79999999999998,70579,Fauquier County,Virginia,VA,3466.0
"Fayette County, AL",27.6,16328,Fayette County,Alabama,AL,3770.0
"Fayette County, GA",96.59999999999997,113233,Fayette County,Georgia,GA,6746.0
"Fayette County, IA",36.800000000000004,19206,Fayette County,Iowa,IA,1638.0
"Fayette County, IL",36.800000000000004,20022,Fayette County,Illinois,IL,8459.0
"Fayette County, IN",36.800000000000004,22997,Fayette County,Indiana,IN,4116.0
"Fayette County, KY",381.8000000000004,313169,Fayette County,Kentucky,KY,1492.0
"Fayette County, OH",36.800000000000004,28632,Fayette County,Ohio,OH,4890.0
"Fayette County, PA",170.19999999999987,128111,Fayette County,Pennsylvania,PA,8865.0
"Fayette County, TN",55.20000000000001,40289,Fayette County,Tennessee,TN,2959.0
"Fayette County, TX",36.800000000000004,25316,Fayette County,Texas,TX,17706.0
"Fayette County, WV",59.80000000000001,41623,Fayette County,West Virginia,WV,352.0
"Fentress County, TN",23.0,18185,Fentress County,Tennessee,TN,2959.0
"Fergus County, MT",13.799999999999999,11014,Fergus County,Montana,MT,252.0
"Ferry County, WA",18.4,7625,Ferry County,Washington,WA,2056.0
"Fillmore County, MN",32.2,21029,Fillmore County,Minnesota,MN,2289.0
"Fillmore County, NE",13.799999999999999,5429,Fillmore County,Nebraska,NE,636.0
"Finney County, KS",59.80000000000001,36213,Finney County,Kansas,KS,962.0
"Fisher County, TX",13.799999999999999,3829,Fisher County,Texas,TX,17706.0
"Flagler County, FL",101.19999999999996,111765,Flagler County,Florida,FL,16059.0
"Flathead County, MT",91.99999999999997,101780,Flathead County,Montana,MT,252.0
"Fleming County, KY",23.0,14432,Fleming County,Kentucky,KY,1492.0
"Florence County, SC",156.3999999999999,136327,Florence County,South Carolina,SC,3620.0
"Florence County, WI",13.799999999999999,4321,Florence County,Wisconsin,WI,1675.0
"Floyd County, GA",96.59999999999997,95044,Floyd County,Georgia,GA,6746.0
"Floyd County, IA",27.6,15719,Floyd County,Iowa,IA,1638.0
"Floyd County, IN",96.59999999999997,77320,Floyd County,Indiana,IN,4116.0
"Floyd County, KY",50.60000000000001,35704,Floyd County,Kentucky,KY,1492.0
"Floyd County, TX",13.799999999999999,5837,Floyd County,Texas,TX,17706.0
"Floyd County, VA",18.4,15795,Floyd County,Virginia,VA,3466.0
"Fluvanna County, VA",23.0,25585,Fluvanna County,Virginia,VA,3466.0
"Foard County, TX",9.2,1200,Foard County,Texas,TX,17706.0
"Fond du Lac County, WI",96.59999999999997,100812,Fond du Lac County,Wisconsin,WI,1675.0
"Ford County, IL",27.6,13221,Ford County,Illinois,IL,8459.0
"Ford County, KS",36.800000000000004,33547,Ford County,Kansas,KS,962.0
"Forest County, PA",18.4,4739,Forest County,Pennsylvania,PA,8865.0
"Forest County, WI",23.0,8915,Forest County,Wisconsin,WI,1675.0
"Forrest County, MS",82.79999999999998,72909,Forrest County,Mississippi,MS,3124.0
"Forsyth County, GA",211.59999999999982,236314,Forsyth County,Georgia,GA,6746.0
"Forsyth County, NC",432.40000000000066,370613,Forsyth County,North Carolina,NC,2731.0
"Fort Bend County, TX",354.2000000000003,784204,Fort Bend County,Texas,TX,17706.0
"Foster County, ND",9.2,3216,Foster County,North Dakota,ND,375.0
"Fountain County, IN",27.6,16330,Fountain County,Indiana,IN,4116.0
"Franklin County, AL",46.00000000000001,31275,Franklin County,Alabama,AL,3770.0
"Franklin County, AR",18.4,17801,Franklin County,Arkansas,AR,1622.0
"Franklin County, FL",32.2,10339,Franklin County,Florida,FL,16059.0
"Franklin County, GA",27.6,22397,Franklin County,Georgia,GA,6746.0
"Franklin County, IA",18.4,10124,Franklin County,Iowa,IA,1638.0
"Franklin County, ID",13.799999999999999,13713,Franklin County,Idaho,ID,571.0
"Franklin County, IL",59.80000000000001,38623,Franklin County,Illinois,IL,8459.0
"Franklin County, IN",27.6,22736,Franklin County,Indiana,IN,4116.0
"Franklin County, KS",27.6,25279,Franklin County,Kansas,KS,962.0
"Franklin County, KY",55.20000000000001,49564,Franklin County,Kentucky,KY,1492.0
"Franklin County, MA",87.39999999999998,70673,Franklin County,Massachusetts,MA,8189.0
"Franklin County, ME",46.00000000000001,29000,Franklin County,Maine,ME,168.0
"Franklin County, MO",82.79999999999998,103562,Franklin County,Missouri,MO,2814.0
"Franklin County, MS",13.799999999999999,7778,Franklin County,Mississippi,MS,3124.0
"Franklin County, NC",59.80000000000001,66458,Franklin County,North Carolina,NC,2731.0
"Franklin County, NE",13.799999999999999,3022,Franklin County,Nebraska,NE,636.0
"Franklin County, NY",69.0,44750,Franklin County,New York,NY,11847.0
"Franklin County, OH",1310.999999999998,1287783,Franklin County,Ohio,OH,4890.0
"Franklin County, PA",128.79999999999993,154027,Franklin County,Pennsylvania,PA,8865.0
"Franklin County, TN",46.00000000000001,40050,Franklin County,Tennessee,TN,2959.0
"Franklin County, TX",18.4,10737,Franklin County,Texas,TX,17706.0
"Franklin County, VA",50.60000000000001,55403,Franklin County,Virginia,VA,3466.0
"Franklin County, VT",50.60000000000001,49237,Franklin County,Vermont,VT,62.0
"Franklin County, WA",64.4,91663,Franklin County,Washington,WA,2056.0
"Franklin Parish, LA",32.2,19805,Franklin Parish,Louisiana,LA,5194.0
"Franklin city, VA",13.799999999999999,8011,Franklin city,Virginia,VA,3466.0
"Frederick County, MD",285.19999999999993,253116,Frederick County,Maryland,MD,4427.0
"Frederick County, VA",69.0,87433,Frederick County,Virginia,VA,3466.0
"Fredericksburg city, VA",32.2,26723,Fredericksburg city,Virginia,VA,3466.0
"Freeborn County, MN",50.60000000000001,30318,Freeborn County,Minnesota,MN,2289.0
"Freestone County, TX",36.800000000000004,18401,Freestone County,Texas,TX,17706.0
"Fremont County, CO",69.0,40090,Fremont County,Colorado,CO,2094.0
"Fremont County, IA",18.4,6986,Fremont County,Iowa,IA,1638.0
"Fremont County, ID",18.4,12751,Fremont County,Idaho,ID,571.0
"Fremont County, WY",50.60000000000001,38890,Fremont County,Wyoming,WY,59.0
"Fresno County, CA",920.0000000000031,984600,Fresno County,California,CA,16663.0
"Frio County, TX",18.4,16565,Frio County,Texas,TX,17706.0
"Frontier County, NE",9.2,2495,Frontier County,Nebraska,NE,636.0
"Fulton County, AR",13.799999999999999,12262,Fulton County,Arkansas,AR,1622.0
"Fulton County, GA",943.0000000000032,1023570,Fulton County,Georgia,GA,6746.0
"Fulton County, IL",59.80000000000001,32703,Fulton County,Illinois,IL,8459.0
"Fulton County, IN",32.2,20021,Fulton County,Indiana,IN,4116.0
"Fulton County, KY",13.799999999999999,5732,Fulton County,Kentucky,KY,1492.0
"Fulton County, NY",73.6,53069,Fulton County,New York,NY,11847.0
"Fulton County, OH",46.00000000000001,42276,Fulton County,Ohio,OH,4890.0
"Fulton County, PA",18.4,14413,Fulton County,Pennsylvania,PA,8865.0
"Furnas County, NE",9.2,4713,Furnas County,Nebraska,NE,636.0
"Gadsden County, FL",46.00000000000001,43611,Gadsden County,Florida,FL,16059.0
"Gage County, NE",36.800000000000004,21464,Gage County,Nebraska,NE,636.0
"Gaines County, TX",18.4,20881,Gaines County,Texas,TX,17706.0
"Galax city, VA",13.799999999999999,6423,Galax city,Virginia,VA,3466.0
"Gallatin County, IL",13.799999999999999,5058,Gallatin County,Illinois,IL,8459.0
"Gallatin County, KY",13.799999999999999,8832,Gallatin County,Kentucky,KY,1492.0
"Gallatin County, MT",105.79999999999995,108969,Gallatin County,Montana,MT,252.0
"Gallia County, OH",36.800000000000004,29653,Gallia County,Ohio,OH,4890.0
"Galveston County, TX",312.80000000000007,334616,Galveston County,Texas,TX,17706.0
"Garden County, NE",9.2,1897,Garden County,Nebraska,NE,636.0
"Garfield County, CO",55.20000000000001,59297,Garfield County,Colorado,CO,2094.0
"Garfield County, MT",9.2,1268,Garfield County,Montana,MT,252.0
"Garfield County, NE",9.2,1987,Garfield County,Nebraska,NE,636.0
"Garfield County, OK",59.80000000000001,60365,Garfield County,Oklahoma,OK,1418.0
"Garfield County, UT",13.799999999999999,4933,Garfield County,Utah,UT,582.0
"Garfield County, WA",9.2,2247,Garfield County,Washington,WA,2056.0
"Garland County, AR",96.59999999999997,98638,Garland County,Arkansas,AR,1622.0
"Garrard County, KY",23.0,17560,Garrard County,Kentucky,KY,1492.0
"Garrett County, MD",36.800000000000004,28975,Garrett County,Maryland,MD,4427.0
"Garvin County, OK",46.00000000000001,27644,Garvin County,Oklahoma,OK,1418.0
"Garza County, TX",9.2,4501,Garza County,Texas,TX,17706.0
"Gasconade County, MO",27.6,14705,Gasconade County,Missouri,MO,2814.0
"Gaston County, NC",303.6,221396,Gaston County,North Carolina,NC,2731.0
"Gates County, NC",18.4,11573,Gates County,North Carolina,NC,2731.0
"Geary County, KS",41.400000000000006,32457,Geary County,Kansas,KS,962.0
"Geauga County, OH",101.19999999999996,93973,Geauga County,Ohio,OH,4890.0
"Gem County, ID",18.4,17581,Gem County,Idaho,ID,571.0
"Genesee County, MI",607.2000000000015,404723,Genesee County,Michigan,MI,6581.0
"Genesee County, NY",73.6,56387,Genesee County,New York,NY,11847.0
"Geneva County, AL",32.2,26261,Geneva County,Alabama,AL,3770.0
"Gentry County, MO",13.799999999999999,6622,Gentry County,Missouri,MO,2814.0
"George County, MS",27.6,23706,George County,Mississippi,MS,3124.0
"Georgetown County, SC",73.6,61979,Georgetown County,South Carolina,SC,3620.0
"Gibson County, IN",36.800000000000004,33080,Gibson County,Indiana,IN,4116.0
"Gibson County, TN",69.0,48877,Gibson County,Tennessee,TN,2959.0
"Gila County, AZ",78.19999999999999,53495,Gila County,Arizona,AZ,5227.0
"Gilchrist County, FL",27.6,17268,Gilchrist County,Florida,FL,16059.0
"Giles County, TN",41.400000000000006,29103,Giles County,Tennessee,TN,2959.0
"Giles County, VA",23.0,16844,Giles County,Virginia,VA,3466.0
"Gillespie County, TX",27.6,26798,Gillespie County,Texas,TX,17706.0
"Gilliam County, OR",9.2,1894,Gilliam County,Oregon,OR,596.0
"Gilmer County, GA",27.6,30816,Gilmer County,Georgia,GA,6746.0
"Gilmer County, WV",13.799999999999999,6222,Gilmer County,West Virginia,WV,352.0
"Gilpin County, CO",9.2,6090,Gilpin County,Colorado,CO,2094.0
"Glacier County, MT",23.0,13714,Glacier County,Montana,MT,252.0
"Glades County, FL",23.0,12264,Glades County,Florida,FL,16059.0
"Gladwin County, MI",46.00000000000001,25271,Gladwin County,Michigan,MI,6581.0
"Glascock County, GA",9.2,2995,Glascock County,Georgia,GA,6746.0
"Glasscock County, TX",9.2,1388,Glasscock County,Texas,TX,17706.0
"Glenn County, CA",32.2,27834,Glenn County,California,CA,16663.0
"Gloucester County, NJ",294.4,288903,Gloucester County,New Jersey,NJ,14511.0
"Gloucester County, VA",41.400000000000006,37349,Gloucester County,Virginia,VA,3466.0
"Glynn County, GA",78.19999999999999,84506,Glynn County,Georgia,GA,6746.0
"Gogebic County, MI",41.400000000000006,14052,Gogebic County,Michigan,MI,6581.0
"Golden Valley County, MT",9.2,826,Golden Valley County,Montana,MT,252.0
"Golden Valley County, ND",9.2,1717,Golden Valley County,North Dakota,ND,375.0
"Goliad County, TX",13.799999999999999,7545,Goliad County,Texas,TX,17706.0
"Gonzales County, TX",32.2,20709,Gonzales County,Texas,TX,17706.0
"Goochland County, VA",27.6,22336,Goochland County,Virginia,VA,3466.0
"Goodhue County, MN",50.60000000000001,46240,Goodhue County,Minnesota,MN,2289.0
"Gooding County, ID",13.799999999999999,15153,Gooding County,Idaho,ID,571.0
"Gordon County, GA",46.00000000000001,57249,Gordon County,Georgia,GA,6746.0
"Goshen County, WY",23.0,12299,Goshen County,Wyoming,WY,59.0
"Gosper County, NE",9.2,1996,Gosper County,Nebraska,NE,636.0
"Gove County, KS",13.799999999999999,2604,Gove County,Kansas,KS,962.0
"Grady County, GA",32.2,24662,Grady County,Georgia,GA,6746.0
"Grady County, OK",50.60000000000001,54785,Grady County,Oklahoma,OK,1418.0
"Grafton County, NH",91.99999999999997,83628,Grafton County,New Hampshire,NH,452.0
"Graham County, AZ",46.00000000000001,35498,Graham County,Arizona,AZ,5227.0
"Graham County, KS",13.799999999999999,2492,Graham County,Kansas,KS,962.0
"Graham County, NC",18.4,8478,Graham County,North Carolina,NC,2731.0
"Grainger County, TN",27.6,23120,Grainger County,Tennessee,TN,2959.0
"Grand County, CO",18.4,15492,Grand County,Colorado,CO,2094.0
"Grand County, UT",13.799999999999999,9730,Grand County,Utah,UT,582.0
"Grand Forks County, ND",87.39999999999998,68121,Grand Forks County,North Dakota,ND,375.0
"Grand Isle County, VT",13.799999999999999,7090,Grand Isle County,Vermont,VT,62.0
"Grand Traverse County, MI",82.79999999999998,92083,Grand Traverse County,Michigan,MI,6581.0
"Granite County, MT",9.2,3377,Granite County,Montana,MT,252.0
"Grant County, AR",23.0,18125,Grant County,Arkansas,AR,1622.0
"Grant County, IN",78.19999999999999,61950,Grant County,Indiana,IN,4116.0
"Grant County, KS",13.799999999999999,7314,Grant County,Kansas,KS,962.0
"Grant County, KY",23.0,24834,Grant County,Kentucky,KY,1492.0
"Grant County, MN",13.799999999999999,6021,Grant County,Minnesota,MN,2289.0
"Grant County, ND",9.2,2374,Grant County,North Dakota,ND,375.0
"Grant County, NE",9.2,660,Grant County,Nebraska,NE,636.0
"Grant County, NM",41.400000000000006,27056,Grant County,New Mexico,NM,854.0
"Grant County, OK",13.799999999999999,4310,Grant County,Oklahoma,OK,1418.0
"Grant County, OR",13.799999999999999,7176,Grant County,Oregon,OR,596.0
"Grant County, SD",13.799999999999999,7133,Grant County,South Dakota,SD,376.0
"Grant County, WA",78.19999999999999,96793,Grant County,Washington,WA,2056.0
"Grant County, WI",59.80000000000001,47859,Grant County,Wisconsin,WI,1675.0
